ax,ay,az,gx,gy,gz
-sTwist-,-s-,-s-,-s-,-s-,-s-
0.08911133,0.9750977,-0.1213379,-0.5801527,-0.7862596,0.07633588
0.08666992,0.9958496,-0.1081543,-0.1374046,-0.832061,0.1679389
0.08129883,0.9938965,-0.1171875,-0.5801527,-1.068702,-0.129771
0.6171875,0.9436035,-0.2702637,-4.045802,-98.60305,-15.51908
0.6437988,1.003906,-0.3935547,-12.00763,-206.0076,-29.60305
-0.3549805,1.098877,-0.04760742,-13.83969,-132.4198,2.236641
0.1306152,0.9365234,-0.1040039,-16.48092,-192.8092,-28.9313
-0.05981445,0.9562988,-0.08129883,-7.442748,-248.1832,31.19084
-0.2026367,1.119629,-0.2143555,-15.30534,-125.6183,4.206107
1.325195,0.8015137,-0.2822266,-10.71756,-193.1527,-38.56488
-0.2724609,1.016846,0.1257324,2.282443,-248.1832,39.78626
-0.2758789,1.048828,-0.01513672,-37.77863,-178.1908,-34.70992
-0.2663574,0.8359375,-0.1809082,-0.1755725,-123.9924,7.015267
-0.1435547,1.003418,0.06762695,-4.61832,-31.1145,1.816794
-0.2956543,1.042725,0.1418457,4.236641,198.0992,37.12977
0.1967773,0.9331055,-0.05761719,24.89313,235.5267,46.73283
0.2561035,1.036377,-0.03369141,35.01527,219.313,40.32824
-0.1682129,1.12207,0.04394531,24.35114,250.1298,37.85496
0.4313965,0.8208008,-0.331543,13.56489,250.1298,-14.03817
-0.09106445,1.053467,-0.0456543,31.29008,250.1298,-3.938931
0.1369629,0.9133301,-0.02929688,19.12977,250.1298,-8.740458
0.04492188,0.8696289,-0.3295898,26.63359,250.1298,-20.80153
-0.1171875,1.081299,-0.02124023,18.76336,250.1298,28.51908
0.02368164,0.8845215,-0.09887695,13.70229,250.1298,-22.1145
-0.262207,1.031982,-0.02905273,21.65649,237.9924,27.77863
0.3479004,1.049561,-0.09082031,4.068702,144.7099,-2.48855
-0.2060547,0.9360352,-0.1572266,-1.641221,185.8244,-5.572519
0.5192871,1.043945,-0.003417969,4.977099,52.96183,4.557252
-0.01147461,0.9060059,-0.2277832,-1.045802,37.93893,4.015267
0.1865234,0.9240723,-0.2456055,-3.022901,-4.656488,0.3282443
0.1464844,1.017334,-0.1210938,-0.4427481,-3.824427,0.06870229
0.05517578,0.9875488,-0.07641602,-1.969466,-1.977099,-0.04580153
0.05200195,0.9370117,-0.1113281,-0.5648855,-0.6030535,0.08396947
0.07739258,0.9694824,-0.1623535,1.664122,-0.4045802,0.2442748
0.08129883,0.9689941,-0.1989746,-1.10687,-0.6412213,-0.2061069
0.07983398,0.9929199,-0.1418457,-1.923664,-0.4503817,0.2137404
0.07983398,0.9897461,-0.08300781,-1.496183,-0.5801527,0.5496183
0.09204102,0.9741211,-0.1035156,0.08396947,-0.9541985,0.4961832
0.08129883,0.963623,-0.1508789,0.519084,-0.6412213,0.1755725
0.08154297,0.9763184,-0.1572266,-0.6946565,-0.5648855,-0.03053435
0.08105469,0.9790039,-0.1481934,-1.641221,-0.3282443,0.08396947
0.06787109,0.9763184,-0.1027832,-1.496183,-0.5343512,0.2900764
0.08276367,0.9733887,-0.1035156,-0.389313,-0.4732824,0.5038168
-eTwist-,-e-,-e-,-e-,-e-,-e-
-sTwist-,-s-,-s-,-s-,-s-,-s-
0.07568359,0.9787598,-0.1223145,-0.740458,-0.648855,0.1068702
0.07592773,1.025391,-0.07763672,0.4427481,-0.6259542,0.6259542
0.07006836,0.9487305,-0.1276855,-1.832061,0.0610687,-0.03816794
0.0769043,0.954834,-0.204834,-5.709924,-16.25954,-0.4045802
0.541748,0.9672852,-0.1564941,-6.351145,-165.1374,-15.35878
-0.173584,0.9956055,-0.1120605,-12.78626,-178.6641,-17.98473
-0.2109375,0.9868164,-0.02001953,-11.0,-223.6718,19.37405
