time,ax,ay,az,gx,gy,gz,temp
8364,0.2575684,0.9577637,-0.185791,-1.312977,-1.007634,0.648855,28.55294
7816,0.2783203,0.9504395,-0.1101074,0.9923664,-1.198473,0.3206107,28.6
7835,0.2773438,0.9362793,-0.1591797,-1.21374,-0.2213741,0.7862596,28.55294
7839,0.2780762,0.9533691,-0.1672363,-0.1221374,-0.4045802,0.6183206,28.50588
7849,0.260498,0.9528809,-0.1640625,-0.8854962,-0.6412213,0.2137404,28.64706
7848,0.2602539,0.9560547,-0.1696777,-0.961832,-0.4351145,0.1068702,28.55294
7786,0.270752,0.9489746,-0.157959,-0.3282443,-0.9389313,0.2900764,28.69412
8173,0.2644043,0.9521484,-0.1647949,0.2748091,-0.1526718,0.7175572,28.6
7845,0.2607422,0.9575195,-0.1650391,-0.8015267,-0.9541985,0.2366412,28.6
7860,0.2585449,0.9450684,-0.144043,-0.2213741,-0.4351145,0.1526718,28.55294
7796,0.2678223,0.958252,-0.1633301,0.09160305,-0.9160305,0.2366412,28.50588
7807,0.2502441,0.9475098,-0.1801758,-1.198473,-0.7480916,0.1832061,28.55294
7783,0.2507324,0.9433594,-0.168457,-0.4122138,-0.3816794,0.5343512,28.64706
7796,0.2570801,0.954834,-0.1699219,-1.068702,-0.6183206,0.3816794,28.6
8192,0.2617188,0.9489746,-0.1599121,-0.4351145,-0.2900764,0.129771,28.55294
7845,0.2651367,0.947998,-0.1789551,-0.4961832,-0.5877862,0.389313,28.6
7839,0.2661133,0.9501953,-0.1689453,-0.8549618,-0.4503817,0.06870229,28.50588
7796,0.25,0.9484863,-0.1704102,-1.099237,-0.2900764,0.1374046,28.64706
7844,0.2558594,0.9558105,-0.1525879,-0.6183206,-0.4045802,0.3740458,28.6
7836,0.2558594,0.9433594,-0.1396484,-0.8015267,0.1984733,0.1603053,28.45882
7800,0.3183594,0.9396973,-0.1838379,-1.969466,-1.984733,0.3435115,28.6
7778,0.2756348,0.9863281,-0.144043,-0.4198473,-1.832061,1.572519,28.50588
7800,0.2946777,0.9355469,-0.1982422,-3.740458,-0.3969466,1.053435,28.45882
7787,0.2844238,1.054688,-0.07421875,2.137405,-1.908397,-0.1450382,28.50588
7830,0.2939453,1.000244,-0.1132813,-2.465649,-2.954198,-2.030534,28.55294
7827,0.2255859,0.9799805,-0.1130371,-3.419847,-0.01526718,-0.5267176,28.55294
7779,0.230957,0.9599609,-0.09423828,-0.9694656,-0.8549618,1.48855,28.50588
7822,0.2385254,0.9494629,-0.1228027,0.519084,-1.10687,1.954198,28.64706
8202,0.2583008,0.9472656,-0.2172852,2.030534,-1.625954,1.419847,28.55294
7891,0.2687988,0.965332,-0.220459,-0.4580153,0.4427481,-0.1603053,28.64706
7834,0.2380371,0.9440918,-0.1984863,-3.312977,1.366412,-0.9312977,28.6
7808,0.2458496,0.9536133,-0.1340332,-2.832061,1.374046,-1.244275,28.55294
7785,0.2519531,0.9638672,-0.1032715,-1.832061,-0.2748091,0.09160305,28.55294
7774,0.2414551,0.9460449,-0.157959,1.740458,-1.48855,1.916031,28.6
7806,0.2648926,0.9504395,-0.1682129,2.427481,-1.610687,1.51145,28.50588
7764,0.2734375,0.9580078,-0.2111816,-3.175573,-2.167939,0.2213741,28.6
7832,0.2709961,0.9609375,-0.1547852,-2.007634,0.9694656,-0.8015267,28.55294
7788,0.2436523,0.9321289,-0.1589355,-3.709924,0.3816794,-1.015267,28.6
7810,0.2502441,0.9482422,-0.1306152,-1.610687,-0.6259542,-0.7557252,28.55294
7801,0.2478027,0.9624023,-0.1413574,2.068702,-1.679389,0.4732824,28.64706
7804,0.2370605,0.9597168,-0.184082,1.717557,-0.610687,1.870229,28.6
7798,0.277832,0.9443359,-0.1994629,-1.19084,-0.1221374,1.145038,28.50588
8223,0.2792969,0.9472656,-0.1645508,-2.70229,-0.259542,-0.5496183,28.6
7874,0.2709961,0.9506836,-0.1386719,-1.564886,-0.6870229,-0.6946565,28.64706
7860,0.244873,0.9597168,-0.1464844,-0.1679389,-0.832061,-0.02290076,28.6
7788,0.2443848,0.9577637,-0.1564941,1.122137,-0.6564885,0.7938931,28.50588
7782,0.2473145,0.9475098,-0.1950684,-0.1603053,-0.7022901,0.8015267,28.55294
7799,0.2680664,0.9382324,-0.1914063,-1.954198,-0.007633588,0.2442748,28.6
7838,0.2702637,0.9448242,-0.1606445,-2.305344,-0.03053435,-0.4580153,28.55294
7796,0.2619629,0.9614258,-0.1484375,-0.6183206,-0.519084,-0.3206107,28.64706
7787,0.2580566,0.9509277,-0.1408691,-0.007633588,-0.8167939,0.4656488,28.50588
7788,0.2575684,0.947998,-0.1696777,0.1068702,-0.832061,0.4732824,28.55294
7821,0.2597656,0.9516602,-0.1806641,-0.7099237,-0.3969466,0.6641222,28.6
7813,0.2565918,0.9545898,-0.1655273,-1.801527,-0.5419847,0.6870229,28.64706
7804,0.2634277,0.9538574,-0.1547852,-1.183206,-0.7251908,0.3206107,28.50588
8198,0.2583008,0.9509277,-0.1669922,-1.21374,-0.4503817,-0.007633588,28.64706
7834,0.2575684,0.9506836,-0.1599121,-1.351145,-0.5572519,0.09160305,28.55294
7802,0.2563477,0.9543457,-0.1674805,-0.3816794,-0.6870229,0.4503817,28.6
7828,0.2602539,0.949707,-0.1601563,-0.2442748,-0.6335878,0.2519084,28.55294
7814,0.2575684,0.9475098,-0.1669922,-0.5343512,-0.480916,0.2290076,28.6
7796,0.263916,0.9511719,-0.1794434,-1.015267,0.1908397,0.07633588,28.55294
7810,0.263916,0.9467773,-0.1660156,-1.030534,-0.3969466,0.351145,28.50588
7768,0.2651367,0.951416,-0.1533203,-0.3129771,-1.099237,0.3816794,28.50588
7817,0.2619629,0.9519043,-0.1530762,-0.2748091,-1.160305,0.5648855,28.45882
7808,0.2722168,0.9489746,-0.177002,-0.8167939,-0.7251908,-0.2213741,28.50588
7831,0.2480469,0.9519043,-0.1696777,-1.251908,-0.7022901,-0.2977099,28.55294
7811,0.2507324,0.958252,-0.140625,-1.076336,-0.4045802,0.1068702,28.50588
7833,0.2492676,0.9587402,-0.1467285,-0.4503817,-0.6793893,0.5419847,28.55294
7832,0.2636719,0.9521484,-0.1818848,-0.1603053,-0.4580153,0.5572519,28.55294
8217,0.2670898,0.953125,-0.1777344,-1.343511,-1.19084,0.389313,28.6
7884,0.2585449,0.9528809,-0.1601563,-1.244275,-0.5114504,0.007633588,28.6
7815,0.2565918,0.9470215,-0.1594238,-0.9007633,-0.5419847,0.03816794,28.55294
7819,0.2519531,0.9580078,-0.1577148,-0.03053435,-0.4961832,0.2748091,28.64706
7805,0.255127,0.9528809,-0.1728516,0.480916,-0.5419847,0.5572519,28.55294
7840,0.262207,0.9523926,-0.1772461,-0.4656488,-0.259542,0.6641222,28.55294
7818,0.2692871,0.9484863,-0.1791992,-1.091603,0.1450382,0.3282443,28.6
7819,0.2741699,0.9472656,-0.175293,-1.564886,-0.02290076,-0.1221374,28.50588
7858,0.2624512,0.9492188,-0.1520996,-1.152672,-1.122137,-0.4656488,28.6
7790,-0.03588867,0.9936523,-0.02587891,96.61832,250.1298,-31.17557,28.6
7807,0.8640137,0.7001953,-0.394043,44.52672,141.8397,-60.68702,28.64706
7824,0.5427246,0.791748,-0.3227539,-1.618321,-30.49618,-62.29008,28.55294
7806,-0.2314453,1.296387,-0.7714844,23.48855,80.09924,-37.78626,28.55294
7816,0.01977539,1.444336,-0.1691895,11.9771,37.86259,-15.68702,28.6
8218,-0.168457,1.034424,-0.2583008,-10.85496,0.740458,12.70229,28.50588
7854,-0.03100586,1.108643,-0.02661133,-2.801527,-8.625955,43.22137,28.55294
7839,0.04931641,0.9875488,-0.0715332,-2.0,-0.961832,63.42748,28.6
7839,0.6181641,0.9138184,-0.1777344,-3.40458,-13.72519,32.28244,28.55294
7792,0.3225098,0.9499512,-0.140625,0.480916,1.717557,26.71756,28.55294
7838,0.3869629,0.8986816,-0.1682129,-1.664122,-0.4961832,16.29771,28.45882
7793,0.3620605,0.9104004,-0.151123,-0.6641222,1.259542,8.78626,28.50588
7799,0.3664551,0.9147949,-0.1630859,-0.8625955,0.8931297,3.977099,28.6
7799,0.3635254,0.9394531,-0.1499023,0.7862596,-1.312977,0.3053435,28.55294
7820,0.3227539,0.9223633,-0.166748,-0.9312977,-0.6717557,-1.671756,28.6
7796,0.3215332,0.9174805,-0.1640625,-0.8854962,-0.259542,-4.625954,28.64706
7848,0.3278809,0.9472656,-0.1450195,0.3435115,-0.9236641,-6.740458,28.50588
7822,0.3098145,0.9453125,-0.130127,-0.05343511,-0.9541985,-8.419847,28.55294
7807,0.2888184,0.9394531,-0.1484375,0.1755725,-0.3664122,-9.221375,28.55294
8217,0.2641602,0.9494629,-0.1633301,0.3664122,-0.7251908,-8.709924,28.6
7865,0.2590332,0.9519043,-0.1640625,0.2290076,-1.0,-8.083969,28.6
7820,0.2346191,1.001953,-0.1120605,-2.603053,-0.2290076,-10.35878,28.50588
7805,0.2416992,0.970459,-0.1047363,0.2442748,-1.977099,-7.832061,28.55294
7800,0.2275391,0.9587402,-0.1418457,-2.129771,-0.3435115,-3.732824,28.50588
7813,0.2275391,0.9533691,-0.1577148,-1.312977,0.06870229,-1.129771,28.50588
7806,0.255127,0.9375,-0.1591797,-1.068702,-1.244275,-0.3282443,28.55294
7778,0.2458496,0.9550781,-0.1577148,0.7022901,-0.1832061,1.076336,28.69412
