time,ax,ay,az,gx,gy,gz,temp
8372,0.3435059,0.9348145,-0.204834,-1.343511,-1.51145,-1.068702,25.49412
7866,0.3220215,0.8740234,-0.1435547,2.648855,1.793893,0.7175572,25.49412
7810,0.2946777,0.9294434,-0.2114258,-5.496183,-0.6717557,3.099237,25.49412
7792,0.2937012,0.9504395,-0.1418457,1.221374,1.061069,5.045802,25.54118
7833,0.3874512,0.9274902,-0.157959,-2.206107,0.1145038,2.725191,25.54118
7840,0.4001465,0.9003906,-0.1650391,-1.541985,0.4580153,-0.3969466,25.44706
7845,0.4042969,0.9060059,-0.1618652,-0.1832061,-2.419847,-2.648855,25.49412
8214,0.3701172,0.9455566,-0.1193848,-1.251908,-2.312977,0.03816794,25.44706
7819,0.3635254,0.9277344,-0.1247559,0.7938931,-3.175573,-0.2137404,25.54118
7855,0.3618164,0.9040527,-0.2416992,-2.320611,-8.473283,3.099237,25.54118
7820,0.244873,0.9780273,-0.1582031,-0.007633588,-2.038168,6.21374,25.63529
7824,0.3312988,0.8937988,-0.203125,-6.137404,0.6259542,6.900764,25.54118
7841,0.3916016,0.8945313,-0.197998,-6.885496,2.229008,4.824428,25.54118
7790,0.394043,0.9116211,-0.1384277,-4.40458,2.70229,1.320611,25.49412
8191,0.3557129,0.921875,-0.1445313,-8.541985,-2.328244,-1.557252,25.54118
7853,0.3193359,0.9196777,-0.1445313,-5.0,-2.549618,-0.4274809,25.49412
7795,0.3154297,0.9311523,-0.1538086,-4.984733,-2.458015,0.8549618,25.54118
7857,0.3317871,0.9580078,-0.1269531,-1.946565,1.251908,1.503817,25.4
7825,0.3005371,0.9282227,-0.1501465,-1.725191,0.4427481,2.580153,25.44706
7809,0.3498535,0.9082031,-0.1779785,-4.274809,0.9007633,2.816794,25.58823
7855,0.3554688,0.9118652,-0.1860352,-2.778626,2.442748,1.206107,25.54118
7824,0.3737793,0.9377441,-0.1589355,-2.442748,1.061069,-1.19084,25.58823
7851,0.3955078,0.9179688,-0.112793,-2.259542,-3.206107,-2.160305,25.54118
7800,0.3571777,0.9523926,-0.1418457,-2.503817,-1.687023,2.076336,25.54118
7807,0.34375,0.8908691,-0.213623,-1.152672,0.6183206,2.78626,25.58823
7777,0.3410645,0.925293,-0.189209,-2.618321,0.5267176,1.832061,25.49412
7837,0.4020996,0.9233398,-0.135498,-2.030534,-1.648855,-0.3816794,25.44706
7795,0.328125,0.9245605,-0.1184082,-1.419847,0.4045802,-0.03816794,25.49412
8140,0.342041,0.9243164,-0.1291504,0.7709923,-0.8549618,0.0,25.58823
7835,0.3410645,0.9321289,-0.1779785,0.8091603,-0.6335878,0.3129771,25.54118
7829,0.3291016,0.9348145,-0.1867676,-0.3740458,-0.9923664,1.343511,25.54118
7845,0.3503418,0.923584,-0.1723633,-3.0,0.05343511,1.038168,25.49412
7803,0.3452148,0.9331055,-0.1552734,-2.267176,0.2519084,1.152672,25.54118
7801,0.3549805,0.9338379,-0.1315918,-1.0,-0.4961832,1.450382,25.54118
7832,0.361084,0.9213867,-0.1315918,0.2900764,-0.6564885,0.4274809,25.58823
7820,0.3879395,0.909668,-0.142334,0.9007633,-0.5572519,-0.832061,25.54118
7848,0.3691406,0.9240723,-0.1499023,0.870229,-0.8625955,-1.480916,25.49412
7844,0.3400879,0.9213867,-0.1691895,-0.3282443,-1.549618,-0.7862596,25.54118
7832,0.3305664,0.923584,-0.184082,-0.6030535,-0.6412213,0.2290076,25.63529
7843,0.3356934,0.9282227,-0.1657715,-2.251908,-0.2213741,1.381679,25.49412
7817,0.3359375,0.9384766,-0.1594238,-2.625954,0.7633588,1.465649,25.58823
7781,0.3562012,0.9272461,-0.137207,-2.198473,-0.09160305,0.6946565,25.63529
8193,0.3535156,0.9277344,-0.1286621,-0.2137404,-0.3435115,0.09160305,25.58823
7886,0.3681641,0.923584,-0.1291504,1.625954,-1.389313,-0.1068702,25.58823
7798,1.169678,0.965332,0.3149414,106.0,250.1298,-48.40458,25.63529
7818,0.6809082,0.626709,-0.7119141,10.12977,14.54962,-54.70229,25.68235
7838,0.07666016,0.9726563,-0.6564941,21.60305,71.20611,-76.32061,25.63529
7847,-0.1201172,0.8691406,-0.3730469,-20.94657,17.67175,4.48855,25.68235
7816,0.161377,0.9731445,-0.3400879,-31.61832,11.41221,-5.320611,25.72941
7791,0.1420898,1.033447,-0.004638672,-30.38168,-22.31298,17.72519,25.68235
7795,0.1013184,0.9348145,-0.04760742,-20.61832,7.244275,25.52672,25.68235
7775,0.3776855,0.9997559,0.1005859,-6.236641,-5.160306,22.39695,25.58823
7801,0.2683105,0.9694824,0.05493164,4.625954,2.832061,30.1145,25.63529
7767,0.34375,0.8933105,-0.1169434,11.0916,-2.030534,29.31298,25.63529
7791,0.4182129,0.8986816,-0.1779785,14.29008,9.442748,20.91603,25.63529
7775,0.4353027,0.9328613,-0.177002,12.45802,4.251908,13.38931,25.77647
8216,0.3237305,0.9411621,-0.1408691,-1.923664,-2.19084,-6.145038,25.77647
7873,0.2856445,0.9445801,-0.1276855,0.6564885,-2.099237,-3.59542,25.58823
7872,0.293457,0.9353027,-0.1484375,2.007634,-1.847328,-0.7175572,25.68235
7834,0.3027344,0.9326172,-0.1699219,3.396947,-0.8396947,1.366412,25.72941
7813,0.3452148,0.9245605,-0.203125,3.091603,-0.8473283,1.648855,25.77647
7846,0.3530273,0.9216309,-0.2050781,0.7557252,-0.129771,0.5954198,25.63529
7803,0.348877,0.9182129,-0.1965332,-1.732824,-0.5343512,-0.02290076,25.68235
7814,0.3500977,0.9282227,-0.1689453,-2.328244,0.05343511,-0.832061,25.63529
7783,0.3322754,0.9277344,-0.152832,-1.641221,-0.519084,-0.2290076,25.63529
7823,0.3244629,0.9328613,-0.1530762,-0.3435115,-0.4961832,0.3053435,25.77647
7817,0.3278809,0.932373,-0.1682129,0.259542,-0.3206107,1.007634,25.63529
7844,0.3359375,0.9255371,-0.1811523,-0.1450382,-0.3435115,1.129771,25.68235
7850,0.3474121,0.9294434,-0.1855469,-1.908397,-0.259542,0.259542,25.68235
7814,0.3359375,0.9243164,-0.1569824,-1.709924,-0.6564885,0.05343511,25.58823
8230,0.3408203,0.9316406,-0.1538086,-0.9541985,-0.6641222,0.3740458,25.72941
7859,0.3242188,0.9274902,-0.1633301,-0.007633588,-0.6259542,1.0,25.72941
7854,0.3330078,0.9265137,-0.1665039,-0.04580153,-0.7709923,1.152672,25.68235
7839,0.3444824,0.9223633,-0.1850586,-0.2900764,-0.2366412,0.5877862,25.68235
7794,0.3491211,0.9211426,-0.1784668,-0.5725191,-0.740458,0.07633588,25.68235
7820,0.3452148,0.9309082,-0.1677246,-0.2519084,-0.6870229,-0.3435115,25.68235
7813,0.3364258,0.9296875,-0.1721191,-0.1450382,-1.053435,-0.05343511,25.68235
7768,0.3288574,0.9311523,-0.1760254,-0.3206107,-0.6183206,0.5725191,25.63529
7813,0.3269043,0.9255371,-0.1767578,-0.5572519,-0.3587786,0.5954198,25.72941
7795,0.3474121,0.9267578,-0.1716309,-0.8167939,-0.4122138,0.4198473,25.77647
7798,0.3444824,0.9228516,-0.1689453,-0.9923664,0.1908397,0.05343511,25.82353
7832,0.3398438,0.9260254,-0.157959,-0.9236641,-0.740458,-0.1679389,25.77647
7802,0.6181641,1.091064,0.04614258,136.7786,250.1298,-17.38168,25.82353
8182,0.9047852,0.7670898,-0.2741699,82.56489,217.7405,-36.67939,25.91765
7842,0.4455566,0.7719727,-0.4614258,15.36641,-13.53435,-43.28244,25.77647
7829,-0.140625,1.193848,-0.5698242,34.19847,126.4275,-81.05344,25.82353
7825,-0.001708984,0.8632813,-0.4064941,-31.38931,0.8778625,20.77863,25.77647
7807,0.1147461,0.9758301,-0.2905273,-26.9542,11.69466,9.961832,25.72941
7817,0.2275391,1.007813,0.02539063,-23.73282,-8.305344,23.77863,25.68235
7774,0.1860352,0.923584,-0.04541016,-16.42748,5.145038,32.61069,25.87059
7817,0.2260742,0.9814453,0.02880859,-2.21374,-2.290076,37.16794,25.82353
7763,0.4274902,0.9262695,0.007324219,7.114504,6.183206,23.82443,25.82353
7813,0.5441895,0.8737793,0.009277344,12.93893,5.603054,13.76336,25.77647
7792,0.5976563,0.8876953,-0.1403809,13.41985,1.427481,0.0610687,25.82353
7807,0.4807129,0.904541,-0.2424316,9.862596,0.1603053,-8.030535,25.87059
7786,0.3259277,0.918457,-0.2565918,1.442748,-0.8167939,-6.748092,25.87059
7800,0.2705078,0.9345703,-0.2094727,0.09160305,-0.8931297,-2.854962,25.77647
